codigo_proceso,t2.procedimiento,total actividades,match paso 5,% paso 5,match paso 6,% paso 6,match paso 7,% paso 7,total match,sin cobertura,% cobertura global
T140002,Realizar Administración recurrente de activos,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T140002,Realizar Dación en pago - Restitución Voluntaria,14,0,0.0%,0,0.0%,1,7.1%,1,13,7.1%
T140003,T140003 Monitorear el servicio Ecosistemas,35,0,0.0%,0,0.0%,15,42.9%,15,20,42.9%
T140004,Contabilizar Bienes recibidos en Pago,43,0,0.0%,0,0.0%,1,2.3%,1,42,2.3%
T140005,Asignar Precios,16,0,0.0%,0,0.0%,0,0.0%,0,16,0.0%
T140005,Comercializar Bienes Recibidos en Pago,55,0,0.0%,0,0.0%,0,0.0%,0,55,0.0%
T140005,Gestionar Ventas en Sitio,14,0,0.0%,0,0.0%,0,0.0%,0,14,0.0%
T140005,Gestionar ofertas,13,0,0.0%,0,0.0%,0,0.0%,0,13,0.0%
T140005,Solicitar CxC ofertas Renting,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
T140005,Subastar BRP,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T140112,"Vincular, actualizar y modificar proveedores",54,0,0.0%,1,1.9%,1,1.9%,2,52,3.7%
T140112,"Vincular, modificar y actualizar proveedor",49,0,0.0%,1,2.0%,1,2.0%,2,47,4.1%
T140705,Recibir y radicar requerimientos de Entidades Externas,38,0,0.0%,1,2.6%,1,2.6%,2,36,5.3%
T140705,T140705 Recibir y radicar requerimientos de Entidades Externas,29,0,0.0%,0,0.0%,1,3.4%,1,28,3.4%
T140707,Gestionar Requerimientos Legales sobre Clientes,39,0,0.0%,0,0.0%,3,7.7%,3,36,7.7%
T140707,Procedimiento contingente,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T140707,T140707 Gestionar Requerimientos Legales sobre Clientes,16,0,0.0%,0,0.0%,1,6.2%,1,15,6.2%
T141203,Administrar PP,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
