t1.id_epica,t1.periodo,codigo_proceso,t2.procedimiento,t2.actividad
6811752,2026Q1,PAN040102,Autorizar Operaciones por Callback,c007: validar operación por callback 
6811752,2026Q1,PAN040102,Abrir Producto de Crédito,procedimiento contingente 
6811752,2026Q1,PAN040102,Abrir Producto de Crédito,crear cuenta y autorizar desembolsos 
6811752,2026Q1,PAN040102,Abrir Producto de Crédito,"contingencia, fecha de actualización: 2025-08-28 "
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,solicitar corrección en el archivo 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,recibir e ingresar datos del crédito nuevo 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,recibir base mensual 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,generar mensaje swift 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,descargar reporte [act122] 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,descargar insumos para el reporte 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,calcular intereses de liquidaciones reciprocas 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,c016: aprobar ajuste en finacle 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,c014: validar insumo de revolventes 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,c012: aprobar mensaje swift 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,c011:aprobar en finacle 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,ajustar valor [act016] 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,ajustar información del crédito 
6811752,2026Q1,PAN040102,Procedimiento Contingente,solucionar inconsistencias 
6811752,2026Q1,PAN040102,Procedimiento Contingente,retorno al proceso normal 
6811752,2026Q1,PAN040102,Procedimiento Contingente,retornar al proceso normal 
6811752,2026Q1,PAN040102,Procedimiento Contingente,notificar la ofex para gestionar inconsistencias 
6811752,2026Q1,PAN040102,Procedimiento Contingente,gestionar inconsistencias [act191] 
6811752,2026Q1,PAN040102,Procedimiento Contingente,enviar fondos del desembolso 
6811752,2026Q1,PAN040102,Procedimiento Contingente,c006: sox verificar y aprobar 
6811752,2026Q1,PAN040102,Procedimiento Contingente,c006 sox verificar operación - aprobar desembolsos 
6811752,2026Q1,PAN040102,Procedimiento Contingente,c004: validar cliente en listas de control 
6811752,2026Q1,PAN040102,Procedimiento Contingente,c003: validar cliente en listas de control de clientes críticos 
6811752,2026Q1,PAN040102,Procedimiento Contingente,c002: revisar el estado del cliente 
6811752,2026Q1,PAN040102,Procedimiento Contingente,activar contigencia [act363] 
6811752,2026Q1,PAN040102,Procedimiento Contingente,activar contigencia 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,solicitar autorización [act311] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,recibir solicitud 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,radicar la solicitud 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de servicios corporativos p: custodiar documentos pagaré panamá 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de la relación con clientes p: evaluar clientes y/o usuarios 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de la relación con clientes p: evaluar clientes y usuarios 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de la relación con clientes p: evaluar alertas panamá y sucursal 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: cumplimiento de los servicios p: adminsitrar garantías 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: cumplimiento de los servicios p: abrir producto de crédito 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,implementar solución [act204] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,identificar tipo de negocio 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,gestionar inconsistencias 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,generar y enviar informe de sustitución 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,generar informes [act178] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,generar carta y notificar 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,emitir certificado [act141] 
